minute,running_jobs,setpoint_c,facility_kw,ambient_c
0,0,6.01,5.2030544526782005,21.1
1,0,6.01,5.2030544526782005,21.13102312901455
2,1,6.01,5.790535640059054,21.16204566739344
3,0,6.01,5.2030544526782005,21.19306702451226
4,0,6.01,5.2030544526782005,21.22408660976909
5,3,6.01,6.965498014820761,21.25510383259573
6,0,6.01,5.2030544526782005,21.28611810246898
7,1,6.01,5.790535640059054,21.31712882892184
8,0,6.01,5.2030544526782005,21.348135421554783
9,0,6.01,5.2030544526782005,21.37913729004698
10,0,6.01,5.2030544526782005,21.41013384416754
11,0,6.01,5.2030544526782005,21.441124493786756
12,1,6.01,5.790535640059054,21.472108648887332
13,0,6.01,5.2030544526782005,21.503085719575616
14,0,6.01,5.2030544526782005,21.534055116092834
15,1,6.01,5.790535640059054,21.565016248826318
16,0,6.01,5.2030544526782005,21.595968528320732
17,1,6.01,5.790535640059054,21.62691136528929
18,0,6.01,5.2030544526782005,21.65784417062498
19,0,6.01,5.2030544526782005,21.688766355411776
20,0,6.01,5.2030544526782005,21.719677330935852
21,0,6.01,5.2030544526782005,21.750576508696792
22,0,6.01,5.2030544526782005,21.781463300418793
23,0,6.01,5.2030544526782005,21.812337118061862
24,0,6.01,5.2030544526782005,21.843197373833018
25,0,6.01,5.2030544526782005,21.874043480197468
26,1,6.01,5.790535640059054,21.90487484988982
27,0,6.01,5.2030544526782005,21.935690895925227
28,0,6.01,5.2030544526782005,21.9664910316106
29,0,6.01,5.2030544526782005,21.99727467055575
30,0,6.01,5.2030544526782005,22.028041226684568
31,0,6.01,5.2030544526782005,22.05879011424617
32,0,6.01,5.2030544526782005,22.089520747826068
33,0,6.01,5.2030544526782005,22.120232542357286
34,0,6.01,5.2030544526782005,22.150924913131533
35,0,6.01,5.2030544526782005,22.181597275810308
36,0,6.01,5.2030544526782005,22.212249046436042
37,0,6.01,5.2030544526782005,22.242879641443206
38,0,6.01,5.2030544526782005,22.27348847766942
39,0,6.01,5.2030544526782005,22.304074972366568
40,0,6.01,5.2030544526782005,22.334638543211877
41,0,6.01,5.2030544526782005,22.365178608319017
42,0,6.01,5.2030544526782005,22.39569458624917
43,0,6.01,5.2030544526782005,22.426185896022105
44,0,6.01,5.2030544526782005,22.456651957127235
45,0,6.01,5.2030544526782005,22.487092189534675
46,1,6.01,5.790535640059054,22.517506013706274
47,0,6.01,5.2030544526782005,22.547892850606665
48,0,6.01,5.2030544526782005,22.57825212171427
49,0,6.01,5.2030544526782005,22.608583249032336
50,0,6.01,5.2030544526782005,22.638885655099912
51,0,6.01,5.2030544526782005,22.669158763002873
52,0,6.01,5.2030544526782005,22.699401996384882
53,0,6.01,5.2030544526782005,22.729614779458366
54,0,6.01,5.2030544526782005,22.75979653701549
55,0,6.01,5.2030544526782005,22.78994669443909
56,0,6.01,5.2030544526782005,22.82006467771364
57,2,6.01,6.378016827439907,22.85014991343614
58,0,6.01,5.2030544526782005,22.88020182882708
59,0,6.01,5.2030544526782005,22.910219851741303
60,0,6.01,5.2030544526782005,22.940203410678922
61,0,6.01,5.2030544526782005,22.970151934796203
62,0,6.01,5.2030544526782005,23.000064853916406
63,0,6.01,5.2030544526782005,23.02994159854068
64,2,6.01,6.378016827439907,23.059781599858866
65,0,6.01,5.2030544526782005,23.089584289760356
66,0,6.01,5.2030544526782005,23.119349100844893
67,1,6.01,5.790535640059054,23.149075466433377
68,1,6.01,5.790535640059054,23.178762820578658
69,0,6.01,5.2030544526782005,23.208410598076313
70,1,6.01,5.790535640059054,23.238018234475383
71,0,6.01,5.2030544526782005,23.26758516608916
72,0,6.01,5.2030544526782005,23.297110830005877
73,0,6.01,5.2030544526782005,23.32659466409946
74,0,6.01,5.2030544526782005,23.356036107040207
75,0,6.01,5.2030544526782005,23.38543459830548
76,0,6.01,5.2030544526782005,23.414789578190387
77,0,6.01,5.2030544526782005,23.444100487818417
78,0,6.01,5.2030544526782005,23.473366769152115
79,0,6.01,5.2030544526782005,23.502587865003655
80,1,6.01,5.790535640059054,23.531763219045505
81,1,6.01,5.790535640059054,23.560892275820976
82,1,6.01,5.790535640059054,23.589974480754815
83,0,6.01,5.2030544526782005,23.619009280163763
84,0,6.01,5.2030544526782005,23.647996121267088
85,0,6.01,5.2030544526782005,23.67693445219712
86,0,6.01,5.2030544526782005,23.705823722009754
87,3,6.01,6.965498014820761,23.734663380694936
88,0,6.01,5.2030544526782005,23.763452879187135
89,0,6.01,5.2030544526782005,23.7921916693758
90,1,6.01,5.790535640059054,23.82087920411579
91,1,6.01,5.790535640059054,23.849514937237796
92,0,6.01,5.2030544526782005,23.87809832355874
93,1,6.01,5.790535640059054,23.90662881889214
94,0,6.01,5.2030544526782005,23.9351058800585
95,0,6.01,5.2030544526782005,23.963528964895623
96,0,6.01,5.2030544526782005,23.99189753226894
97,0,6.01,5.2030544526782005,24.020211042081826
98,1,6.01,5.790535640059054,24.048468955285863
99,0,6.01,5.2030544526782005,24.076670733891117
100,1,6.01,5.790535640059054,24.104815840976375
101,1,6.01,5.790535640059054,24.13290374069937
102,0,6.01,5.2030544526782005,24.16093389830698
103,0,6.01,5.2030544526782005,24.188905780145408
104,0,6.01,5.2030544526782005,24.216818853670343
105,0,6.01,5.2030544526782005,24.2446725874571
106,0,6.01,5.2030544526782005,24.272466451210743
107,1,6.01,5.790535640059054,24.300199915776165
108,0,6.01,5.2030544526782005,24.327872453148178
109,0,6.01,5.2030544526782005,24.355483536481564
110,0,6.01,5.2030544526782005,24.383032640101092
111,0,6.01,5.2030544526782005,24.410519239511544
112,1,6.01,5.790535640059054,24.437942811407684
113,2,6.01,6.378016827439907,24.465302833684238
114,1,6.01,5.790535640059054,24.492598785445818
115,0,6.01,5.2030544526782005,24.519830147016847
116,0,6.01,5.2030544526782005,24.546996399951457
117,1,6.01,5.790535640059054,24.57409702704335
118,0,6.01,5.2030544526782005,24.60113151233565
119,1,6.01,5.790535640059054,24.62809934113073
120,0,6.01,5.2030544526782005,24.655
121,1,6.01,5.790535640059054,24.681832976793693
122,0,6.01,5.2030544526782005,24.70859776065061
123,0,6.01,5.2030544526782005,24.73529384200784
124,0,6.01,5.2030544526782005,24.761920712610486
125,1,6.01,5.790535640059054,24.78847786552131
126,0,6.01,5.2030544526782005,24.814964795130397
127,0,6.01,5.2030544526782005,24.841380997164794
128,1,6.01,5.790535640059054,24.86772596869809
129,0,6.01,5.2030544526782005,24.89399920816
