id,seeds,reduction_mean,reduction_std,fixed_mean_kwh,mpc_mean_kwh,fixed_setpoint,cool_fraction,cop_min_at6,cop_max_at12,ambient_base_c,ambient_swing_c,econ_max_gain,base_it_kw,heat_per_job_kw,cryo_kw
16,6,9.412319566881742,0.034208757312740784,16.70042922354249,15.128524138585192,6.01,1.09,2.32,5.66,21.1,7.11,0.21,1.28,0.47,2.09
7,6,9.044164777209131,0.017490933917614766,19.293659282719137,17.548708068760256,6.32,1.05,2.33,5.61,21.19,7.02,0.14,1.77,0.37,2.16
41,6,8.83142106963455,0.018339144584771868,22.35971314815841,20.38503318684174,6.16,1.23,2.33,5.2,21.29,7.97,0.15,1.7,0.33,2.88
8,6,8.592511089199782,0.023154058345109488,22.052726516700755,20.157840333713455,6.5,1.23,2.43,5.87,22.0,6.28,0.18,1.8,0.49,2.69
18,6,8.365557499892788,0.024308733292776104,23.974945380922236,21.969304653002833,6.28,1.25,2.39,5.33,23.52,7.44,0.19,1.78,0.49,3.12
57,6,8.336232749430534,0.02865382182538586,16.567246959158194,15.186156713137061,6.5,1.22,2.35,5.3,20.49,5.23,0.17,1.3,0.46,2.03
29,6,8.17623333742623,0.018837963725604173,18.739670601461494,17.20746940998082,6.4,1.19,2.57,5.53,23.46,7.1,0.15,1.66,0.41,2.14
17,6,8.076845568944329,0.023348459648949608,21.671111301841616,19.920766248037676,6.3,1.11,2.45,5.88,23.1,5.93,0.15,1.72,0.48,2.77
4,6,8.052397579223895,0.022565213102735456,20.766976434286548,19.094733592893224,6.55,1.1,2.34,5.71,22.1,5.93,0.17,1.73,0.49,2.54
31,6,7.928374928412918,0.023237427372784104,20.57815164081926,18.946634787634455,6.72,1.15,2.31,5.7,22.28,7.48,0.17,1.69,0.5,2.53
22,6,7.839563228153858,0.029079939871400534,22.052414743491777,20.323598093694986,6.14,1.1,2.32,5.71,20.35,6.19,0.21,1.48,0.48,3.15
25,6,7.739951230845993,0.015612233905276315,23.82705284682388,21.98285185344361,6.15,1.24,2.54,5.54,23.25,6.81,0.19,1.75,0.31,3.25
3,6,7.710260727998889,0.020334058140959337,22.733798136714682,20.980961873995728,6.02,1.03,2.5,5.65,22.46,6.15,0.22,1.79,0.44,2.98
10,6,7.6767651106298755,0.022551149518567765,24.08167480170836,22.23297910959323,6.74,1.24,2.3,5.8,23.92,7.87,0.13,1.78,0.48,3.23
20,6,7.61842731156571,0.02422498343939081,21.967208472149164,20.29364910880541,6.16,1.13,2.46,5.26,23.93,6.71,0.12,1.66,0.5,2.88
52,6,7.610707338733566,0.017924064860126227,19.093070554046978,17.639951380624485,6.48,1.13,2.55,5.66,20.99,7.8,0.16,1.66,0.4,2.28
53,6,7.551710561575057,0.026409026469934125,19.816300997592016,18.319827978832148,6.24,1.14,2.34,5.21,21.74,7.29,0.18,1.39,0.44,2.73
38,6,7.481807063686244,0.02353042013028651,19.276876917757892,17.834616264292162,6.36,1.1,2.37,5.72,22.57,7.18,0.13,1.41,0.4,2.64
51,6,7.39075547128585,0.022269988561505187,25.01961980096964,23.170479134125475,6.07,1.22,2.58,5.38,20.05,6.45,0.14,1.78,0.48,3.44
59,6,7.337503890130154,0.0208154519088373,17.85844539449873,16.54808070011973,6.53,1.17,2.33,5.61,22.94,7.39,0.18,1.28,0.32,2.48
58,6,7.253996343262595,0.02184858569020322,20.695783069309112,19.19451084578625,6.3,1.12,2.36,5.45,20.89,5.85,0.21,1.45,0.38,2.92
35,6,7.235571689037197,0.021583267314117194,23.633110946475444,21.92312041543357,6.01,1.18,2.52,5.65,22.45,5.22,0.14,1.54,0.38,3.49
14,6,7.157804415371838,0.02280468327955086,19.92526073393242,18.499045881083358,6.47,1.14,2.54,5.59,21.15,6.24,0.2,1.58,0.49,2.55
50,6,7.150035678339376,0.017604482910615567,23.79808803687267,22.096516461239066,6.27,1.08,2.46,5.63,22.44,6.15,0.18,1.79,0.39,3.26
48,6,7.044825986807266,0.019005463451036764,18.325107360996775,17.034134496262542,6.17,1.02,2.47,5.33,20.27,7.32,0.2,1.44,0.36,2.42
37,6,7.0038887109378125,0.026866323095023004,16.903097259414732,15.719217050619621,6.66,1.15,2.44,5.38,20.29,5.05,0.18,1.31,0.5,2.16
49,6,6.947627310350318,0.02323520912975913,20.485166557881296,19.061931573714094,6.29,1.14,2.46,5.45,22.55,7.03,0.18,1.43,0.42,2.89
19,6,6.933763517436877,0.01749699175327613,21.859673157278355,20.34397445913306,6.69,1.06,2.34,5.67,22.86,5.5,0.16,1.75,0.41,2.87
36,6,6.789478129290906,0.014416431576072291,19.495520892976494,18.171876294971103,6.74,1.04,2.48,5.69,20.55,5.94,0.19,1.74,0.37,2.36
42,6,6.7441370882592295,0.016901207220589395,20.48087103306821,19.09961154494025,6.77,1.18,2.59,5.6,23.93,7.51,0.2,1.73,0.43,2.53
6,6,6.732879061220152,0.013305039221680904,18.10023843293212,16.881570719953142,6.63,1.06,2.56,5.24,21.34,5.45,0.17,1.68,0.35,2.08
9,6,6.725859697657526,0.013855903115868415,22.721393596908197,21.193185470964185,6.61,1.12,2.46,5.75,21.66,7.2,0.19,1.76,0.32,3.09
13,6,6.721907778457759,0.017989046934012567,17.775285714285715,16.58044705029212,6.28,1.11,2.59,5.59,21.04,5.73,0.21,1.34,0.32,2.43
33,6,6.692431388326324,0.016183829736883065,19.544292407023246,18.23630336722797,6.45,1.12,2.57,5.26,22.78,5.98,0.14,1.6,0.37,2.49
56,6,6.687548592747955,0.024302497372273874,19.88621215248034,18.55630956439539,6.36,1.1,2.39,5.36,22.6,5.79,0.21,1.36,0.43,2.85
11,6,6.686125175469908,0.013468841932036844,22.63049970736839,21.117397252939295,6.38,1.06,2.54,5.85,21.06,6.62,0.16,1.76,0.31,3.1
